timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
927209690,0.00343788,-0.00450293,0.009067,0.838695,0.00493135,0.0359211,-0.543392,0.870776,-0.0397471,-0.0356996,-0.488769,1
927237808,-0.00427049,0.00282735,-0.00589126,0.838696,0.00495205,0.0358734,-0.543394,0.870776,-0.0397471,-0.0356996,-0.488769,1
927269704,0.0105347,0.00115377,-0.00862164,0.838631,0.00491122,0.0359381,-0.543491,0.870776,-0.0397471,-0.0356996,-0.488769,1
927302496,0.00169729,-0.00902633,0.00124571,0.838594,0.00487296,0.0358618,-0.543554,0.870776,-0.0397471,-0.0356996,-0.488769,1
927334584,-0.00954355,-0.00290109,0.0059586,0.838629,0.00487118,0.0358354,-0.543501,0.870776,-0.0397471,-0.0356996,-0.488769,1
927366612,0.00897947,-0.00189116,0.00527229,0.83867,0.00486904,0.0358344,-0.543438,0.870776,-0.0397471,-0.0356996,-0.488769,1
927398536,-0.00167959,-0.00301201,-0.000500988,0.838685,0.00479405,0.0358017,-0.543417,0.870776,-0.0397471,-0.0356996,-0.488769,1
927430490,-0.00180217,-0.000659762,-0.0060529,0.838643,0.00484666,0.0357939,-0.543483,0.870776,-0.0397471,-0.0356996,-0.488769,1
927458481,-0.00130218,-0.00502403,-0.00582868,0.8386,0.00472273,0.035814,-0.543549,0.870776,-0.0397471,-0.0356996,-0.488769,1
927490466,0.00153866,-0.00304517,0.00475547,0.83861,0.00477561,0.0357207,-0.54354,0.870776,-0.0397471,-0.0356996,-0.488769,1
927522578,0.00689544,-0.00125838,0.00753456,0.838665,0.0046856,0.0357479,-0.543453,0.870776,-0.0397471,-0.0356996,-0.488769,1
927554621,-0.015122,-0.00493924,-0.00358235,0.838684,0.00466173,0.0357077,-0.543426,0.870776,-0.0397471,-0.0356996,-0.488769,1
927586582,0.0159903,0.00108405,-0.00944279,0.83862,0.00466775,0.0356886,-0.543526,0.870776,-0.0397471,-0.0356996,-0.488769,1
927618493,-0.013497,-0.00487271,-0.000593775,0.838588,0.00460255,0.0356951,-0.543576,0.870776,-0.0397471,-0.0356996,-0.488769,1
927647365,0.00767768,0.00255768,0.00591135,0.838622,0.00465706,0.035688,-0.543524,0.870776,-0.0397471,-0.0356996,-0.488769,1
927679311,-0.00842633,-0.00512628,0.00154634,0.838665,0.00454408,0.0356921,-0.543459,0.870776,-0.0397471,-0.0356996,-0.488769,1
927711333,0.0064389,0.000582279,-0.00555184,0.838638,0.00464795,0.0356848,-0.543499,0.870776,-0.0397471,-0.0356996,-0.488769,1
927743295,-0.00247597,-0.00733999,-0.00409831,0.838602,0.00451706,0.0356413,-0.543559,0.870776,-0.0397471,-0.0356996,-0.488769,1
927775311,-0.00127603,0.000568961,0.0022661,0.838602,0.0045924,0.0356168,-0.543559,0.870776,-0.0397471,-0.0356996,-0.488769,1
927807506,-0.000448776,-0.00387221,0.00100745,0.838618,0.00449291,0.035624,-0.543535,0.870776,-0.0397471,-0.0356996,-0.488769,1
927839376,0.00394792,0.00330226,-0.00255647,0.838616,0.00457248,0.0356016,-0.543539,0.870776,-0.0397471,-0.0356996,-0.488769,1
927871406,0.000469056,-0.00831216,-0.000587194,0.838607,0.00449766,0.03556,-0.543557,0.870776,-0.0397471,-0.0356996,-0.488769,1
927899368,0.00135805,0.00392242,0.00108638,0.83861,0.00451538,0.0355527,-0.543553,0.870776,-0.0397471,-0.0356996,-0.488769,1
